"","age","marital","income","gender","jobsat"
"108",44,"Married",46,"Male","Somewhat satisfied"
"109",32,"Unmarried",31,"Male","Highly dissatisfied"
"110",65,"Unmarried",40,"Female","Somewhat satisfied"
"111",47,"Married",181,"Female","Somewhat satisfied"
"112",42,"Unmarried",53,"Female","Somewhat dissatisfied"
"113",48,"Unmarried",144,"Female","Somewhat dissatisfied"
"114",29,"Unmarried",22,"Male","Somewhat dissatisfied"
"115",36,"Unmarried",43,"Male","Highly dissatisfied"
"116",34,"Unmarried",23,"Female","Somewhat satisfied"
"117",41,"Unmarried",68,"Female","Highly dissatisfied"
"118",26,"Unmarried",41,"Male","Highly dissatisfied"
"119",25,"Unmarried",23,"Male","Highly dissatisfied"
"120",53,"Unmarried",145,"Male","Highly satisfied"
"121",32,"Married",33,"Female","Neutral"
"122",46,"Unmarried",83,"Female","Somewhat dissatisfied"
"123",44,"Married",39,"Female","Highly satisfied"
"124",39,"Unmarried",42,"Female","Highly dissatisfied"
"125",39,"Married",43,"Female","Somewhat satisfied"
"126",40,"Unmarried",38,"Female","Neutral"
"127",25,"Unmarried",59,"Female","Somewhat dissatisfied"
"128",29,"Married",57,"Male","Somewhat dissatisfied"
"129",23,"Unmarried",24,"Male","Highly dissatisfied"
"130",48,"Unmarried",45,"Male","Neutral"
"131",24,"Unmarried",22,"Male","Somewhat dissatisfied"
"132",59,"Unmarried",30,"Male","Highly dissatisfied"
"133",31,"Married",30,"Female","Highly dissatisfied"
"134",70,"Unmarried",21,"Female","Somewhat dissatisfied"
"135",37,"Unmarried",51,"Male","Highly dissatisfied"
"136",59,"Married",43,"Female","Neutral"
"137",38,"Unmarried",30,"Female","Highly dissatisfied"
"138",56,"Unmarried",37,"Male","Neutral"
"139",48,"Married",23,"Female","Somewhat satisfied"
"140",28,"Married",16,"Male","Highly dissatisfied"
"141",20,"Married",19,"Male","Somewhat satisfied"
"142",68,"Unmarried",22,"Male","Neutral"
"143",26,"Unmarried",38,"Male","Highly dissatisfied"
"144",29,"Married",74,"Female","Highly satisfied"
"145",23,"Married",13,"Male","Highly dissatisfied"
"146",61,"Unmarried",41,"Male","Somewhat satisfied"
"147",39,"Unmarried",48,"Female","Somewhat dissatisfied"
"148",47,"Married",176,"Female","Somewhat dissatisfied"
"149",36,"Unmarried",40,"Male","Somewhat dissatisfied"
"150",61,"Unmarried",837,"Male","Highly satisfied"
"151",32,"Married",71,"Male","Somewhat dissatisfied"
"152",28,"Married",30,"Male","Somewhat dissatisfied"
"153",66,"Married",42,"Female","Somewhat dissatisfied"
"154",35,"Married",51,"Male","Somewhat satisfied"
"155",55,"Married",352,"Male","Somewhat satisfied"
"156",47,"Unmarried",122,"Female","Highly satisfied"
"157",34,"Married",38,"Male","Somewhat dissatisfied"
"158",29,"Unmarried",67,"Male","Somewhat dissatisfied"
"159",36,"Unmarried",31,"Male","Highly dissatisfied"
"160",38,"Married",51,"Male","Somewhat dissatisfied"
"161",33,"Married",35,"Male","Neutral"
"162",46,"Married",88,"Female","Somewhat satisfied"
"163",29,"Unmarried",60,"Female","Neutral"
"164",38,"Married",53,"Female","Highly dissatisfied"
"165",38,"Unmarried",42,"Male","Somewhat dissatisfied"
"166",39,"Married",29,"Female","Neutral"
"167",34,"Married",62,"Male","Somewhat satisfied"
"168",58,"Married",46,"Male","Somewhat dissatisfied"
"169",29,"Unmarried",31,"Female","Somewhat dissatisfied"
"170",64,"Unmarried",16,"Male","Somewhat dissatisfied"
"171",41,"Unmarried",36,"Male","Somewhat dissatisfied"
"172",44,"Unmarried",25,"Female","Highly dissatisfied"
"173",60,"Married",82,"Female","Neutral"
"174",32,"Unmarried",25,"Female","Somewhat satisfied"
"175",35,"Unmarried",37,"Male","Somewhat satisfied"
"176",58,"Married",19,"Male","Highly dissatisfied"
"177",37,"Unmarried",30,"Female","Somewhat satisfied"
"178",63,"Married",208,"Female","Somewhat satisfied"
"179",22,"Married",25,"Female","Somewhat satisfied"
"180",66,"Married",72,"Female","Somewhat dissatisfied"
"181",26,"Unmarried",19,"Male","Highly dissatisfied"
"182",44,"Unmarried",104,"Female","Somewhat satisfied"
"183",41,"Unmarried",25,"Female","Neutral"
"184",26,"Married",15,"Male","Somewhat dissatisfied"
"185",48,"Unmarried",371,"Female","Somewhat dissatisfied"
"186",45,"Unmarried",135,"Female","Neutral"
"187",26,"Married",50,"Male","Somewhat satisfied"
"188",31,"Unmarried",22,"Female","Highly satisfied"
"189",54,"Married",354,"Male","Highly satisfied"
"190",34,"Married",38,"Male","Highly satisfied"
"191",32,"Married",45,"Male","Neutral"
"192",35,"Unmarried",32,"Female","Somewhat dissatisfied"
"193",22,"Married",32,"Male","Highly dissatisfied"
"194",25,"Unmarried",30,"Male","Highly satisfied"
"195",59,"Married",103,"Female","Highly satisfied"
"196",28,"Married",15,"Female","Somewhat dissatisfied"
"197",37,"Married",52,"Female","Highly dissatisfied"
"198",43,"Unmarried",29,"Male","Neutral"
"199",42,"Married",69,"Female","Highly satisfied"
"200",35,"Unmarried",38,"Female","Neutral"
"201",22,"Unmarried",32,"Male","Neutral"
"202",55,"Unmarried",298,"Male","Highly satisfied"
"203",63,"Unmarried",11,"Male","Neutral"
"204",40,"Married",61,"Male","Somewhat satisfied"
"205",29,"Unmarried",59,"Male","Somewhat dissatisfied"
"206",32,"Married",52,"Female","Somewhat satisfied"
"207",47,"Unmarried",138,"Male","Somewhat dissatisfied"
"208",42,"Unmarried",28,"Female","Highly dissatisfied"
"209",50,"Unmarried",23,"Female","Highly satisfied"
"210",52,"Married",34,"Female","Somewhat dissatisfied"
"211",33,"Married",26,"Female","Highly satisfied"
"212",54,"Unmarried",286,"Male","Neutral"
"213",37,"Married",32,"Female","Highly satisfied"
"214",57,"Married",307,"Female","Somewhat satisfied"
"215",70,"Married",11,"Male","Highly satisfied"
"216",23,"Married",14,"Female","Neutral"
"217",55,"Unmarried",196,"Female","Somewhat satisfied"
"218",48,"Unmarried",81,"Male","Somewhat dissatisfied"
"219",38,"Unmarried",40,"Male","Somewhat satisfied"
"220",47,"Married",65,"Male","Somewhat satisfied"
"221",29,"Unmarried",21,"Male","Highly dissatisfied"
"222",27,"Married",26,"Male","Highly dissatisfied"
"223",29,"Married",40,"Female","Somewhat dissatisfied"
"224",28,"Unmarried",26,"Male","Somewhat dissatisfied"
"225",47,"Married",55,"Female","Somewhat satisfied"
"226",45,"Married",22,"Female","Highly dissatisfied"
"227",24,"Unmarried",19,"Male","Highly dissatisfied"
"228",41,"Married",204,"Female","Highly satisfied"
"229",18,"Unmarried",13,"Male","Highly dissatisfied"
"230",42,"Unmarried",140,"Female","Neutral"
"231",45,"Married",46,"Male","Somewhat dissatisfied"
"232",34,"Married",40,"Female","Highly dissatisfied"
"233",38,"Married",105,"Female","Somewhat satisfied"
"234",36,"Unmarried",137,"Male","Highly satisfied"
"235",19,"Married",16,"Female","Highly dissatisfied"
"236",28,"Unmarried",24,"Female","Neutral"
"237",41,"Married",32,"Male","Somewhat satisfied"
"238",54,"Unmarried",47,"Female","Somewhat satisfied"
"239",42,"Unmarried",207,"Female","Highly satisfied"
"240",47,"Married",118,"Male","Highly satisfied"
"241",61,"Unmarried",288,"Female","Highly satisfied"
"242",66,"Married",13,"Male","Highly satisfied"
"243",51,"Married",73,"Male","Somewhat satisfied"
"244",55,"Unmarried",33,"Female","Somewhat dissatisfied"
"245",36,"Married",28,"Male","Somewhat dissatisfied"
"246",39,"Married",63,"Male","Somewhat satisfied"
"247",38,"Unmarried",30,"Male","Highly dissatisfied"
"248",44,"Married",89,"Female","Somewhat satisfied"
"249",52,"Married",78,"Female","Highly satisfied"
"250",55,"Unmarried",1045,"Female","Highly satisfied"
"251",58,"Married",97,"Male","Highly satisfied"
"252",61,"Unmarried",119,"Male","Somewhat satisfied"
"253",64,"Unmarried",10,"Female","Somewhat dissatisfied"
"254",45,"Married",242,"Female","Highly satisfied"
"255",66,"Unmarried",333,"Male","Highly satisfied"
"256",31,"Unmarried",29,"Female","Highly dissatisfied"
"257",31,"Unmarried",26,"Male","Somewhat satisfied"
"258",36,"Married",56,"Male","Highly satisfied"
"259",20,"Unmarried",21,"Female","Highly dissatisfied"
"260",40,"Married",35,"Female","Highly satisfied"
"261",38,"Married",40,"Male","Somewhat dissatisfied"
"262",51,"Unmarried",89,"Male","Somewhat satisfied"
"263",47,"Unmarried",36,"Female","Highly satisfied"
"264",31,"Married",32,"Female","Somewhat satisfied"
"265",34,"Unmarried",44,"Female","Highly dissatisfied"
"266",35,"Married",41,"Male","Neutral"
"267",66,"Unmarried",45,"Male","Highly satisfied"
"268",63,"Unmarried",118,"Female","Highly satisfied"
"269",34,"Married",102,"Female","Somewhat dissatisfied"
"270",37,"Married",31,"Female","Neutral"
"271",34,"Married",37,"Male","Highly satisfied"
"272",36,"Married",109,"Male","Highly dissatisfied"
"273",42,"Unmarried",42,"Male","Somewhat satisfied"
"274",63,"Unmarried",143,"Female","Highly satisfied"
"275",30,"Married",50,"Female","Highly satisfied"
"276",58,"Married",280,"Female","Somewhat satisfied"
"277",36,"Unmarried",37,"Female","Neutral"
"278",53,"Married",393,"Female","Somewhat satisfied"
"279",43,"Unmarried",86,"Female","Somewhat dissatisfied"
"280",33,"Unmarried",24,"Female","Somewhat satisfied"
"281",37,"Married",88,"Female","Neutral"
"282",43,"Married",66,"Female","Neutral"
"283",45,"Unmarried",196,"Female","Somewhat satisfied"
"284",37,"Unmarried",27,"Female","Neutral"
"285",19,"Unmarried",15,"Male","Highly dissatisfied"
"286",55,"Unmarried",66,"Male","Somewhat dissatisfied"
"287",40,"Unmarried",94,"Male","Highly satisfied"
"288",61,"Unmarried",11,"Female","Somewhat dissatisfied"
"289",25,"Married",20,"Female","Somewhat dissatisfied"
"290",35,"Unmarried",116,"Male","Neutral"
"291",60,"Unmarried",43,"Male","Somewhat dissatisfied"
"292",37,"Unmarried",54,"Male","Highly satisfied"
"293",38,"Unmarried",76,"Female","Somewhat satisfied"
"294",46,"Unmarried",36,"Female","Somewhat dissatisfied"
"295",43,"Unmarried",56,"Male","Somewhat satisfied"
"296",40,"Married",50,"Male","Neutral"
"297",34,"Unmarried",22,"Female","Somewhat dissatisfied"
"298",40,"Married",33,"Male","Somewhat dissatisfied"
"299",44,"Married",41,"Female","Highly dissatisfied"
"300",28,"Married",41,"Male","Highly dissatisfied"
"301",47,"Married",65,"Male","Somewhat satisfied"
"302",23,"Married",25,"Male","Highly dissatisfied"
"303",51,"Married",33,"Male","Somewhat dissatisfied"
"304",39,"Married",23,"Male","Somewhat satisfied"
"305",54,"Married",61,"Female","Highly satisfied"
"306",54,"Unmarried",314,"Female","Highly satisfied"
"307",28,"Unmarried",42,"Male","Neutral"
"308",26,"Married",26,"Female","Highly dissatisfied"
"309",42,"Married",58,"Female","Somewhat dissatisfied"
"310",44,"Married",40,"Female","Somewhat satisfied"
"311",41,"Married",43,"Female","Highly satisfied"
"312",40,"Married",33,"Male","Somewhat satisfied"
"313",39,"Married",52,"Female","Somewhat satisfied"
"314",35,"Unmarried",57,"Male","Somewhat satisfied"
"315",45,"Married",143,"Female","Somewhat satisfied"
"316",48,"Married",56,"Female","Highly satisfied"
"317",71,"Unmarried",69,"Female","Neutral"
"318",31,"Unmarried",34,"Male","Somewhat satisfied"
"319",50,"Married",346,"Male","Highly dissatisfied"
"320",55,"Unmarried",167,"Male","Highly satisfied"
"321",32,"Married",27,"Male","Highly dissatisfied"
"322",51,"Unmarried",126,"Female","Somewhat satisfied"
"323",52,"Unmarried",46,"Male","Somewhat satisfied"
"324",46,"Unmarried",33,"Female","Neutral"
"325",49,"Unmarried",349,"Male","Somewhat satisfied"
"326",48,"Unmarried",40,"Male","Highly dissatisfied"
"327",23,"Unmarried",20,"Female","Highly dissatisfied"
"328",52,"Married",73,"Female","Somewhat satisfied"
"329",50,"Unmarried",66,"Male","Highly satisfied"
"330",60,"Married",102,"Female","Highly satisfied"
"331",21,"Unmarried",14,"Male","Somewhat dissatisfied"
"332",36,"Married",45,"Male","Neutral"
"333",49,"Unmarried",50,"Male","Neutral"
"334",48,"Married",123,"Male","Neutral"
"335",25,"Unmarried",64,"Female","Neutral"
"336",35,"Married",28,"Female","Somewhat dissatisfied"
"337",49,"Unmarried",102,"Female","Highly dissatisfied"
"338",47,"Married",107,"Male","Highly satisfied"
"339",27,"Unmarried",26,"Female","Neutral"
"340",34,"Married",24,"Female","Somewhat dissatisfied"
"341",36,"Married",30,"Female","Highly dissatisfied"
"342",50,"Married",37,"Male","Somewhat satisfied"
"343",29,"Unmarried",28,"Female","Somewhat satisfied"
"344",33,"Married",21,"Male","Neutral"
"345",42,"Unmarried",26,"Male","Neutral"
"346",33,"Married",23,"Male","Neutral"
"347",30,"Married",32,"Male","Highly dissatisfied"
"348",51,"Unmarried",146,"Male","Highly satisfied"
"349",27,"Unmarried",28,"Male","Highly dissatisfied"
"350",29,"Unmarried",16,"Male","Somewhat satisfied"
"351",32,"Unmarried",37,"Male","Highly dissatisfied"
"352",44,"Married",31,"Male","Highly satisfied"
"353",34,"Married",112,"Male","Highly satisfied"
"354",20,"Married",32,"Female","Highly dissatisfied"
"355",49,"Unmarried",78,"Male","Neutral"
"356",34,"Unmarried",100,"Female","Highly satisfied"
"357",34,"Married",30,"Male","Neutral"
"358",31,"Unmarried",51,"Female","Highly satisfied"
"359",39,"Married",238,"Female","Highly satisfied"
"360",33,"Married",42,"Male","Neutral"
"361",54,"Married",69,"Female","Somewhat dissatisfied"
"362",31,"Unmarried",60,"Female","Somewhat dissatisfied"
"363",34,"Unmarried",71,"Female","Neutral"
"364",29,"Married",28,"Female","Somewhat satisfied"
"365",24,"Unmarried",15,"Male","Somewhat satisfied"
"366",49,"Married",154,"Female","Highly satisfied"
"367",19,"Married",14,"Female","Somewhat satisfied"
"368",49,"Unmarried",35,"Female","Highly satisfied"
"369",40,"Unmarried",50,"Male","Somewhat dissatisfied"
"370",28,"Unmarried",74,"Female","Highly dissatisfied"
"371",36,"Married",130,"Female","Highly satisfied"
"372",46,"Unmarried",46,"Male","Highly satisfied"
"373",24,"Married",25,"Female","Somewhat dissatisfied"
"374",38,"Married",78,"Male","Neutral"
"375",31,"Unmarried",28,"Male","Highly satisfied"
"376",37,"Unmarried",58,"Male","Somewhat dissatisfied"
"377",58,"Unmarried",17,"Male","Neutral"
"378",37,"Unmarried",31,"Female","Neutral"
"379",73,"Unmarried",11,"Male","Neutral"
"380",44,"Unmarried",27,"Female","Neutral"
"381",66,"Unmarried",68,"Female","Neutral"
"382",50,"Unmarried",70,"Female","Somewhat satisfied"
"383",30,"Unmarried",25,"Male","Somewhat dissatisfied"
"384",41,"Unmarried",28,"Female","Highly dissatisfied"
"385",57,"Unmarried",143,"Male","Highly satisfied"
"386",71,"Unmarried",147,"Male","Somewhat satisfied"
"387",53,"Married",81,"Male","Somewhat satisfied"
"388",38,"Unmarried",56,"Female","Neutral"
"389",46,"Unmarried",114,"Male","Somewhat dissatisfied"
"390",61,"Unmarried",29,"Female","Highly dissatisfied"
"391",48,"Married",28,"Female","Neutral"
"392",35,"Married",19,"Female","Highly satisfied"
"393",55,"Married",345,"Female","Somewhat satisfied"
"394",51,"Unmarried",143,"Male","Neutral"
"395",45,"Unmarried",61,"Female","Somewhat dissatisfied"
"396",50,"Married",86,"Male","Somewhat satisfied"
"397",36,"Unmarried",49,"Female","Somewhat satisfied"
"398",44,"Married",49,"Female","Somewhat satisfied"
"399",38,"Unmarried",25,"Male","Highly dissatisfied"
"400",50,"Unmarried",61,"Female","Somewhat satisfied"
"401",37,"Unmarried",57,"Male","Somewhat satisfied"
"402",48,"Unmarried",201,"Female","Highly dissatisfied"
"403",46,"Married",35,"Male","Highly dissatisfied"
"404",51,"Unmarried",51,"Male","Highly dissatisfied"
"405",22,"Married",21,"Female","Highly dissatisfied"
"406",72,"Unmarried",17,"Male","Highly satisfied"
"407",61,"Unmarried",23,"Female","Neutral"
"408",40,"Married",29,"Male","Neutral"
"409",49,"Unmarried",39,"Male","Somewhat satisfied"
"410",43,"Married",91,"Male","Somewhat satisfied"
"411",26,"Unmarried",31,"Female","Somewhat satisfied"
"412",41,"Married",152,"Female","Somewhat dissatisfied"
"413",44,"Married",40,"Male","Neutral"
"414",27,"Unmarried",102,"Male","Highly dissatisfied"
"415",48,"Unmarried",98,"Female","Somewhat dissatisfied"
"416",44,"Married",39,"Female","Somewhat dissatisfied"
"417",53,"Unmarried",254,"Female","Somewhat satisfied"
"418",41,"Unmarried",71,"Female","Somewhat satisfied"
"419",63,"Unmarried",118,"Male","Neutral"
"420",29,"Married",42,"Male","Highly satisfied"
"421",39,"Unmarried",81,"Female","Neutral"
"422",39,"Married",26,"Female","Neutral"
"423",36,"Unmarried",87,"Male","Neutral"
"424",28,"Married",68,"Male","Highly satisfied"
"425",54,"Unmarried",130,"Male","Somewhat satisfied"
"426",36,"Married",78,"Female","Neutral"
"427",57,"Unmarried",1070,"Female","Somewhat satisfied"
"428",41,"Unmarried",42,"Male","Highly satisfied"
"429",31,"Married",45,"Male","Somewhat dissatisfied"
"430",39,"Married",93,"Female","Neutral"
"431",54,"Unmarried",151,"Male","Somewhat satisfied"
"432",49,"Unmarried",104,"Female","Somewhat satisfied"
"433",54,"Married",120,"Male","Somewhat satisfied"
"434",36,"Married",33,"Female","Highly dissatisfied"
"435",53,"Married",111,"Male","Somewhat satisfied"
"436",60,"Married",9,"Male","Somewhat dissatisfied"
"437",29,"Married",29,"Female","Neutral"
"438",50,"Married",24,"Female","Somewhat dissatisfied"
"439",62,"Married",50,"Male","Neutral"
"440",44,"Unmarried",100,"Male","Highly satisfied"
"441",65,"Married",235,"Female","Neutral"
"442",56,"Unmarried",210,"Female","Highly satisfied"
"443",32,"Married",40,"Female","Highly dissatisfied"
"444",40,"Unmarried",86,"Male","Somewhat dissatisfied"
"445",20,"Married",19,"Female","Highly dissatisfied"
"446",59,"Married",16,"Male","Highly satisfied"
"447",58,"Unmarried",10,"Male","Somewhat satisfied"
"448",37,"Married",75,"Female","Highly dissatisfied"
"449",52,"Unmarried",123,"Female","Highly satisfied"
"450",29,"Married",43,"Male","Highly satisfied"
"451",48,"Married",27,"Male","Somewhat dissatisfied"
"452",25,"Unmarried",21,"Female","Highly satisfied"
"453",35,"Unmarried",152,"Male","Neutral"
"454",28,"Married",91,"Female","Somewhat satisfied"
"455",42,"Married",61,"Male","Somewhat satisfied"
"456",53,"Married",117,"Male","Highly satisfied"
"457",67,"Married",10,"Male","Neutral"
"458",31,"Married",95,"Female","Somewhat satisfied"
"459",43,"Unmarried",67,"Male","Somewhat dissatisfied"
"460",60,"Married",60,"Male","Somewhat satisfied"
"461",41,"Unmarried",198,"Male","Somewhat satisfied"
"462",62,"Married",63,"Male","Somewhat satisfied"
"463",37,"Unmarried",28,"Female","Highly dissatisfied"
"464",37,"Unmarried",46,"Female","Neutral"
"465",19,"Married",20,"Female","Neutral"
"466",63,"Married",69,"Male","Highly satisfied"
"467",41,"Unmarried",69,"Female","Somewhat dissatisfied"
"468",59,"Married",57,"Female","Neutral"
"469",70,"Unmarried",9,"Male","Somewhat dissatisfied"
"470",44,"Married",48,"Male","Neutral"
"471",53,"Unmarried",129,"Female","Somewhat satisfied"
"472",37,"Married",40,"Female","Neutral"
"473",64,"Married",15,"Female","Neutral"
"474",56,"Married",86,"Male","Somewhat satisfied"
"475",31,"Married",42,"Male","Somewhat dissatisfied"
"476",29,"Married",29,"Male","Somewhat dissatisfied"
"477",51,"Married",77,"Female","Highly dissatisfied"
"478",25,"Married",22,"Female","Neutral"
"479",44,"Married",139,"Male","Highly satisfied"
"480",35,"Unmarried",35,"Female","Somewhat satisfied"
"481",29,"Unmarried",30,"Male","Neutral"
"482",60,"Married",114,"Male","Neutral"
"483",49,"Married",38,"Female","Highly dissatisfied"
"484",21,"Unmarried",28,"Male","Neutral"
"485",63,"Unmarried",11,"Female","Somewhat satisfied"
"486",20,"Unmarried",18,"Male","Highly dissatisfied"
"487",33,"Unmarried",36,"Female","Highly dissatisfied"
"488",61,"Unmarried",24,"Male","Highly dissatisfied"
"489",53,"Married",34,"Female","Neutral"
"490",35,"Unmarried",47,"Male","Highly satisfied"
"491",46,"Unmarried",49,"Female","Somewhat satisfied"
"492",23,"Unmarried",19,"Female","Somewhat dissatisfied"
"493",47,"Unmarried",57,"Female","Somewhat dissatisfied"
"494",49,"Married",86,"Female","Somewhat satisfied"
"495",43,"Unmarried",101,"Female","Highly dissatisfied"
"496",64,"Unmarried",11,"Female","Somewhat satisfied"
"497",53,"Married",227,"Male","Highly satisfied"
"498",32,"Married",18,"Female","Neutral"
"499",28,"Married",43,"Female","Neutral"
"500",25,"Married",26,"Female","Highly dissatisfied"
"501",31,"Married",25,"Male","Somewhat dissatisfied"
"502",46,"Unmarried",77,"Female","Somewhat satisfied"
"503",34,"Married",31,"Female","Highly dissatisfied"
"504",26,"Married",23,"Female","Neutral"
"505",42,"Married",41,"Male","Somewhat satisfied"
"506",58,"Married",496,"Female","Highly satisfied"
"507",55,"Unmarried",89,"Male","Neutral"
"508",63,"Married",91,"Female","Neutral"
"509",59,"Married",141,"Male","Highly satisfied"
"510",43,"Married",54,"Male","Somewhat satisfied"
"511",41,"Unmarried",27,"Female","Somewhat dissatisfied"
"512",34,"Married",33,"Male","Neutral"
"513",19,"Unmarried",16,"Female","Highly dissatisfied"
"514",27,"Unmarried",26,"Male","Somewhat dissatisfied"
"515",38,"Unmarried",43,"Male","Somewhat satisfied"
"516",59,"Unmarried",39,"Male","Neutral"
"517",21,"Married",19,"Male","Somewhat dissatisfied"
"518",36,"Married",40,"Male","Somewhat satisfied"
"519",43,"Married",34,"Male","Highly satisfied"
"520",41,"Married",24,"Female","Neutral"
"521",52,"Unmarried",27,"Male","Somewhat satisfied"
"522",25,"Married",26,"Male","Highly satisfied"
"523",24,"Married",24,"Male","Highly dissatisfied"
"524",32,"Unmarried",59,"Male","Neutral"
"525",60,"Married",372,"Male","Somewhat satisfied"
"526",54,"Unmarried",31,"Female","Somewhat dissatisfied"
"527",35,"Unmarried",26,"Male","Highly dissatisfied"
"528",46,"Married",60,"Male","Highly satisfied"
